,Cowichan River Skutz Falls,Cowichan River Skutz Falls,Cowichan River Skutz Falls
7/21/2025 18:00,23.69,7.89,8.85
7/21/2025 19:00,23.54,7.82,8.71
7/21/2025 20:00,23.34,7.76,8.59
7/21/2025 21:00,23.05,7.68,8.47
7/21/2025 22:00,22.61,7.6,8.38
7/21/2025 23:00,22.1,7.55,8.38
7/22/2025 0:00,21.6,7.52,8.42
7/22/2025 1:00,21.18,7.5,8.46
7/22/2025 2:00,20.82,7.5,8.52
7/22/2025 3:00,20.51,7.47,8.58
7/22/2025 4:00,20.24,7.48,8.64
7/22/2025 5:00,19.95,7.46,8.69
7/22/2025 6:00,19.73,7.47,8.75
7/22/2025 7:00,19.63,7.5,8.91
7/22/2025 8:00,19.61,7.58,9.15
7/22/2025 9:00,19.62,7.63,9.29
7/22/2025 10:00,20.14,7.74,9.48
7/22/2025 11:00,20.8,7.84,9.54
7/22/2025 12:00,21.55,7.92,9.55
7/22/2025 13:00,22.29,7.99,9.5
7/22/2025 14:00,22.89,8.04,9.42
7/22/2025 15:00,23.36,8.07,9.29
7/22/2025 16:00,23.71,8.07,9.16
7/22/2025 17:00,23.86,8.02,8.98
7/22/2025 18:00,23.95,7.95,8.82
7/22/2025 19:00,23.78,7.86,8.69
7/22/2025 20:00,23.53,7.76,8.58
7/22/2025 21:00,23.21,7.66,8.45
7/22/2025 22:00,22.77,7.58,8.37
7/22/2025 23:00,22.32,7.54,8.35
7/23/2025 0:00,21.93,7.51,8.38
7/23/2025 1:00,21.59,7.49,8.41
7/23/2025 2:00,21.25,7.49,8.47
7/23/2025 3:00,20.93,7.49,8.53
7/23/2025 4:00,20.63,7.48,8.58
7/23/2025 5:00,20.36,7.46,8.63
7/23/2025 6:00,20.14,7.46,8.69
7/23/2025 7:00,20,7.49,8.82
7/23/2025 8:00,19.98,7.55,9.04
7/23/2025 9:00,20.08,7.62,9.23
7/23/2025 10:00,20.54,7.71,9.38
7/23/2025 11:00,21.15,7.8,9.47
7/23/2025 12:00,21.89,7.89,9.47
7/23/2025 13:00,22.62,7.96,9.44
7/23/2025 14:00,23.22,8.01,9.38
7/23/2025 15:00,23.73,8.05,9.25
7/23/2025 16:00,24.05,8.04,9.11
7/23/2025 17:00,24.25,7.97,8.92
7/23/2025 18:00,24.32,7.93,8.76
7/23/2025 19:00,24.21,7.85,8.62
7/23/2025 20:00,23.94,7.75,8.51
7/23/2025 21:00,23.51,7.64,8.41
7/23/2025 22:00,23.02,7.56,8.33
7/23/2025 23:00,22.55,7.52,8.33
7/24/2025 0:00,22.12,7.5,8.37
7/24/2025 1:00,21.75,7.48,8.41
7/24/2025 2:00,21.41,7.48,8.46
7/24/2025 3:00,21.1,7.47,8.52
7/24/2025 4:00,20.79,7.48,8.57
7/24/2025 5:00,20.54,7.45,8.62
7/24/2025 6:00,20.32,7.46,8.67
7/24/2025 7:00,20.12,7.48,8.8
7/24/2025 8:00,20.04,7.53,8.98
7/24/2025 9:00,20.14,7.58,9.17
7/24/2025 10:00,20.6,7.69,9.34
7/24/2025 12:00,21.94,7.87,9.46
7/24/2025 13:00,22.67,7.94,9.43
7/24/2025 14:00,23.26,7.98,9.35
7/24/2025 15:00,23.74,8.03,9.25
7/24/2025 16:00,24.08,8.01,9.09
7/24/2025 17:00,24.22,7.98,8.89
7/24/2025 18:00,24.17,7.93,8.76
7/24/2025 19:00,24.03,7.85,8.63
7/24/2025 20:00,23.62,7.76,8.52
7/24/2025 21:00,23.1,7.66,8.44
7/24/2025 22:00,22.53,7.58,8.38
7/24/2025 23:00,21.95,7.54,8.41
7/25/2025 0:00,21.43,7.51,8.46
7/25/2025 1:00,21.03,7.49,8.51
7/25/2025 2:00,20.67,7.5,8.58
7/25/2025 3:00,20.34,7.46,8.6
7/25/2025 4:00,20.02,7.45,8.68
7/25/2025 5:00,19.73,7.46,8.74
7/25/2025 6:00,19.49,7.46,8.8
7/25/2025 7:00,19.31,7.49,8.92
7/25/2025 8:00,19.27,7.54,9.13
7/25/2025 9:00,19.43,7.63,9.35
7/25/2025 10:00,19.83,7.72,9.49
7/25/2025 11:00,20.42,7.8,9.56
7/25/2025 12:00,21.05,7.91,9.61
7/25/2025 13:00,21.59,8.02,9.63
7/25/2025 14:00,22.06,8.1,9.61
7/25/2025 15:00,22.41,8.16,9.52
7/25/2025 16:00,22.67,8.22,9.43
7/25/2025 17:00,22.83,8.26,9.33
7/25/2025 18:00,22.68,8.25,9.21
7/25/2025 19:00,22.5,8.21,9.1
7/25/2025 20:00,22.18,8.04,8.94
7/25/2025 21:00,21.83,7.83,8.75
7/25/2025 22:00,21.42,7.68,8.62
7/25/2025 23:00,21.01,7.6,8.59
7/26/2025 0:00,20.63,7.55,8.62
7/26/2025 1:00,20.3,7.51,8.65
7/26/2025 2:00,20.01,7.51,8.69
7/26/2025 3:00,19.74,7.49,8.74
7/26/2025 4:00,19.5,7.47,8.78
7/26/2025 5:00,19.28,7.46,8.83
7/26/2025 6:00,19.1,7.47,8.87
7/26/2025 7:00,18.99,7.49,9
7/26/2025 8:00,18.99,7.54,9.19
7/26/2025 9:00,19.14,7.6,9.36
7/26/2025 10:00,19.61,7.72,9.52
7/26/2025 11:00,20.23,7.82,9.6
7/26/2025 12:00,21.01,7.9,9.59
7/26/2025 13:00,21.74,7.97,9.56
7/26/2025 14:00,22.35,8.03,9.48
7/26/2025 15:00,22.79,8.08,9.38
7/26/2025 16:00,22.95,8.09,9.29
7/26/2025 17:00,22.69,7.94,9.07
7/26/2025 18:00,22.35,7.93,9.05
7/26/2025 19:00,22.01,7.84,8.95
7/26/2025 20:00,21.67,7.75,8.87
7/26/2025 21:00,21.42,7.67,8.75
7/26/2025 22:00,21.17,7.57,8.63
7/26/2025 23:00,20.83,7.55,8.63
7/27/2025 0:00,20.49,7.5,8.63
7/27/2025 1:00,20.15,7.49,8.68
7/27/2025 2:00,19.85,7.5,8.74
7/27/2025 3:00,19.58,7.49,8.79
7/27/2025 4:00,19.34,7.47,8.84
7/27/2025 5:00,19.14,7.47,8.89
7/27/2025 6:00,18.96,7.46,8.93
7/27/2025 7:00,18.82,7.5,9.07
7/27/2025 8:00,18.77,7.55,9.25
7/27/2025 9:00,18.89,7.62,9.43
7/27/2025 10:00,19.36,7.7,9.57
7/27/2025 11:00,20,7.78,9.63
7/27/2025 12:00,20.72,7.85,9.64
7/27/2025 13:00,21.42,7.9,9.58
7/27/2025 14:00,22,7.96,9.52
7/27/2025 15:00,22.47,7.99,9.41
7/27/2025 16:00,22.78,7.99,9.27
7/27/2025 17:00,22.98,7.93,9.06
7/27/2025 18:00,23.05,7.89,8.94
7/27/2025 19:00,22.83,7.81,8.79
7/27/2025 20:00,22.5,7.73,8.72
7/27/2025 21:00,22.12,7.63,8.61
7/27/2025 22:00,21.71,7.57,8.56
7/27/2025 23:00,21.3,7.54,8.56
7/28/2025 0:00,20.92,7.52,8.6
7/28/2025 1:00,20.58,7.5,8.65
7/28/2025 2:00,20.25,7.49,8.7
7/28/2025 3:00,19.94,7.49,8.76
7/28/2025 4:00,19.68,7.48,8.8
7/28/2025 5:00,19.45,7.47,8.87
7/28/2025 6:00,19.25,7.47,8.91
7/28/2025 7:00,19.09,7.5,9.03
7/28/2025 8:00,19.02,7.53,9.21
7/28/2025 9:00,19.14,7.59,9.38
7/28/2025 10:00,19.59,7.69,9.55
7/28/2025 11:00,20.22,7.77,9.62
7/28/2025 12:00,20.92,7.84,9.64
7/28/2025 13:00,21.63,7.91,9.6
7/28/2025 14:00,22.25,7.97,9.53
7/28/2025 15:00,22.75,8,9.42
7/28/2025 16:00,23.1,8,9.27
7/28/2025 17:00,23.29,7.93,9.08
7/28/2025 18:00,23.33,7.89,8.93
7/28/2025 19:00,23.25,7.82,8.79
7/28/2025 20:00,23.01,7.73,8.7
7/28/2025 21:00,22.6,7.64,8.6
7/28/2025 22:00,22.12,7.56,8.52
7/28/2025 23:00,21.66,7.53,8.54
7/29/2025 0:00,21.27,7.51,8.57
7/29/2025 1:00,20.93,7.49,8.62
7/29/2025 2:00,20.61,7.49,8.67
7/29/2025 3:00,20.3,7.47,8.72
7/29/2025 4:00,19.99,7.47,8.78
7/29/2025 5:00,19.72,7.47,8.84
7/29/2025 6:00,19.49,7.45,8.89
7/29/2025 7:00,19.31,7.48,9
7/29/2025 8:00,19.25,7.53,9.18
7/29/2025 9:00,19.39,7.58,9.36
7/29/2025 10:00,19.92,7.67,9.52
7/29/2025 11:00,20.56,7.76,9.59
7/29/2025 12:00,21.3,7.84,9.6
7/29/2025 13:00,22,7.9,9.56
7/29/2025 14:00,22.65,7.95,9.47
7/29/2025 15:00,23.16,7.97,9.34
7/29/2025 16:00,23.52,7.97,9.19
7/29/2025 17:00,23.75,7.94,9.01
7/29/2025 18:00,23.88,7.88,8.84
7/29/2025 19:00,23.82,7.79,8.69
7/29/2025 20:00,23.59,7.71,8.59
7/29/2025 21:00,23.2,7.63,8.49
7/29/2025 23:00,22.27,7.52,8.43
7/30/2025 0:00,21.89,7.49,8.45
7/30/2025 1:00,21.58,7.48,8.49
7/30/2025 2:00,21.29,7.47,8.54
7/30/2025 3:00,21,7.47,8.58
7/30/2025 4:00,20.71,7.48,8.64
7/30/2025 5:00,20.43,7.47,8.68
7/30/2025 6:00,20.18,7.47,8.74
7/30/2025 7:00,19.98,7.47,8.86
7/30/2025 8:00,19.9,7.52,9.04
7/30/2025 9:00,20.02,7.59,9.23
7/30/2025 10:00,20.51,7.67,9.4
7/30/2025 11:00,21.12,7.77,9.49
7/30/2025 12:00,21.85,7.86,9.52
7/30/2025 13:00,22.54,7.93,9.48
7/30/2025 14:00,23.17,7.98,9.39
7/30/2025 15:00,23.66,8,9.27
7/30/2025 16:00,24.01,8.01,9.14
7/30/2025 17:00,24.25,7.96,8.97
7/30/2025 18:00,24.38,7.93,8.84
7/30/2025 19:00,24.31,7.87,8.73
7/30/2025 20:00,24.07,7.77,8.59
7/30/2025 21:00,23.65,7.66,8.44
7/30/2025 22:00,23.17,7.57,8.36
7/30/2025 23:00,22.7,7.53,8.34
7/31/2025 0:00,22.28,7.51,8.38
7/31/2025 1:00,21.9,7.49,8.42
7/31/2025 2:00,21.57,7.49,8.48
7/31/2025 3:00,21.27,7.48,8.52
7/31/2025 4:00,20.97,7.48,8.57
7/31/2025 5:00,20.73,7.47,8.61
7/31/2025 6:00,20.52,7.47,8.66
7/31/2025 7:00,20.37,7.49,8.77
7/31/2025 8:00,20.27,7.52,8.95
7/31/2025 9:00,20.33,7.61,9.19
7/31/2025 10:00,20.67,7.69,9.34
7/31/2025 11:00,21.3,7.78,9.42
7/31/2025 12:00,22.05,7.86,9.43
7/31/2025 13:00,22.81,7.93,9.4
7/31/2025 14:00,23.43,7.97,9.3
7/31/2025 14:00,23.43,7.97,9.3
7/31/2025 15:00,23.91,8,9.21
7/31/2025 16:00,24.25,8,9.07
7/31/2025 17:00,24.45,7.97,8.93
7/31/2025 18:00,24.49,7.9,8.75
7/31/2025 19:00,24.39,7.81,8.6
7/31/2025 20:00,24.17,7.72,8.51
7/31/2025 21:00,23.78,7.64,8.39
7/31/2025 22:00,23.3,7.57,8.32
7/31/2025 23:00,22.81,7.53,8.33
8/1/2025 0:00,22.37,7.52,8.37
8/1/2025 1:00,21.93,7.51,8.43
8/1/2025 2:00,21.56,7.5,8.48
8/1/2025 3:00,21.16,7.49,8.55
8/1/2025 4:00,20.82,7.49,8.61
8/1/2025 6:00,20.34,7.47,8.71
8/1/2025 7:00,20.16,7.49,8.82
8/1/2025 8:00,20.06,7.54,9.01
8/1/2025 9:00,20.12,7.6,9.2
8/1/2025 10:00,20.55,7.69,9.38
8/1/2025 11:00,21.07,7.78,9.49
8/1/2025 12:00,21.75,7.87,9.52
8/1/2025 13:00,22.41,7.94,9.49
8/1/2025 14:00,22.99,7.99,9.43
8/1/2025 15:00,23.46,8.01,9.32
8/1/2025 16:00,23.8,7.99,9.17
8/1/2025 17:00,24,7.93,8.98
8/1/2025 18:00,24,7.87,8.82
8/1/2025 19:00,23.88,7.8,8.7
8/1/2025 20:00,23.55,7.73,8.61
8/1/2025 21:00,23.13,7.64,8.52
8/1/2025 22:00,22.64,7.57,8.46
8/1/2025 23:00,22.19,7.54,8.49
8/2/2025 0:00,21.77,7.52,8.51
8/2/2025 1:00,21.4,7.5,8.57
8/2/2025 2:00,21.08,7.49,8.62
8/2/2025 3:00,20.74,7.49,8.67
8/2/2025 4:00,20.44,7.49,8.73
8/2/2025 5:00,20.21,7.48,8.77
8/2/2025 6:00,20.03,7.47,8.81
8/2/2025 7:00,19.92,7.49,8.93
8/2/2025 8:00,19.89,7.55,9.15
8/2/2025 9:00,19.94,7.6,9.29
8/2/2025 10:00,20.38,7.69,9.44
8/2/2025 11:00,20.97,7.77,9.51
8/2/2025 12:00,21.7,7.84,9.52
8/2/2025 13:00,22.45,7.89,9.48
8/2/2025 14:00,23.1,7.96,9.43
8/2/2025 15:00,23.53,8,9.34
8/2/2025 16:00,23.34,7.97,9.22
8/2/2025 17:00,23.42,7.93,9.09
8/2/2025 18:00,23.61,7.87,8.91
8/2/2025 19:00,23.48,7.8,8.78
8/2/2025 20:00,23.18,7.73,8.68
8/2/2025 21:00,22.8,7.64,8.58
8/2/2025 22:00,22.33,7.58,8.53
8/2/2025 23:00,21.88,7.54,8.53
8/3/2025 0:00,21.47,7.52,8.56
8/3/2025 1:00,21.12,7.5,8.61
8/3/2025 2:00,20.81,7.5,8.66
8/3/2025 3:00,20.53,7.49,8.71
8/3/2025 4:00,20.29,7.49,8.76
8/3/2025 5:00,20.09,7.48,8.8
8/3/2025 6:00,19.97,7.47,8.82
8/3/2025 7:00,19.93,7.5,8.94
8/3/2025 8:00,19.94,7.55,9.09
8/3/2025 9:00,20.12,7.64,9.35
8/3/2025 10:00,20.41,7.76,9.55
8/3/2025 11:00,20.6,7.85,9.62
8/3/2025 12:00,20.73,7.9,9.64
8/3/2025 13:00,20.93,7.95,9.67
8/3/2025 14:00,21.2,8.05,9.72
8/3/2025 15:00,21.61,8.11,9.69
8/3/2025 16:00,21.99,8.09,9.57
8/3/2025 17:00,22.25,8.05,9.38
8/3/2025 18:00,22.29,7.97,9.2
8/3/2025 19:00,22.1,7.88,9.11
8/3/2025 20:00,21.91,7.76,8.92
8/3/2025 21:00,21.79,7.66,8.76
8/3/2025 22:00,21.65,7.59,8.64
8/3/2025 23:00,21.42,7.55,8.61
8/4/2025 0:00,21.14,7.52,8.61
8/4/2025 1:00,20.83,7.51,8.65
8/4/2025 2:00,20.5,7.51,8.7
8/4/2025 3:00,20.23,7.5,8.76
8/4/2025 4:00,20.04,7.49,8.79
8/4/2025 5:00,19.86,7.49,8.83
8/4/2025 6:00,19.73,7.49,8.86
8/4/2025 7:00,19.64,7.5,8.99
8/4/2025 8:00,19.64,7.57,9.2
8/4/2025 9:00,19.75,7.64,9.38
8/4/2025 10:00,20.1,7.73,9.53
8/4/2025 11:00,20.62,7.82,9.63
8/4/2025 12:00,21.03,7.9,9.62
8/4/2025 13:00,21.29,7.98,9.65
8/4/2025 14:00,21.64,8.03,9.6
8/4/2025 15:00,21.89,8.08,9.56
8/4/2025 16:00,22.41,8.13,9.49
8/4/2025 17:00,22.37,8.08,9.32
8/4/2025 18:00,22.32,8.03,9.23
8/4/2025 19:00,22.31,8,9.12
8/4/2025 20:00,22.15,7.87,8.95
8/4/2025 21:00,21.78,7.73,8.8
8/4/2025 22:00,21.42,7.63,8.7
8/4/2025 23:00,21.06,7.58,8.68
8/5/2025 0:00,20.74,7.55,8.68
8/5/2025 1:00,20.44,7.51,8.7
8/5/2025 2:00,20.16,7.51,8.76
8/5/2025 3:00,19.93,7.5,8.81
8/5/2025 4:00,19.77,7.49,8.84
8/5/2025 5:00,19.62,7.49,8.87
8/5/2025 6:00,19.49,7.48,8.9
8/5/2025 7:00,19.41,7.5,8.96
8/5/2025 8:00,19.41,7.53,9.11
8/5/2025 9:00,19.56,7.63,9.39
8/5/2025 10:00,19.71,7.73,9.53
8/5/2025 11:00,19.94,7.8,9.67
8/5/2025 12:00,20.25,7.89,9.72
8/5/2025 13:00,20.55,7.97,9.76
8/5/2025 14:00,20.79,8.04,9.74
8/5/2025 15:00,20.92,8.01,9.63
8/5/2025 16:00,20.92,7.95,9.48
8/5/2025 17:00,20.93,7.91,9.4
8/5/2025 18:00,20.88,7.86,9.29
8/5/2025 19:00,20.79,7.77,9.15
8/5/2025 20:00,20.66,7.68,9.02
8/5/2025 21:00,20.53,7.61,8.92
8/5/2025 22:00,20.38,7.57,8.86
8/5/2025 23:00,20.25,7.53,8.85
8/6/2025 0:00,20.12,7.52,8.85
8/6/2025 1:00,19.99,7.5,8.86
8/6/2025 2:00,19.89,7.49,8.87
8/6/2025 3:00,19.79,7.48,8.88
8/6/2025 4:00,19.69,7.47,8.89
8/6/2025 5:00,19.61,7.47,8.89
8/6/2025 6:00,19.53,7.47,8.91
8/6/2025 7:00,19.48,7.47,8.93
8/6/2025 8:00,19.47,7.48,8.98
8/6/2025 9:00,19.5,7.51,9.09
8/6/2025 10:00,19.79,7.62,9.42
8/6/2025 11:00,20.35,7.75,9.57
8/6/2025 12:00,20.55,7.83,9.65
8/6/2025 13:00,20.66,7.89,9.65
8/6/2025 14:00,20.83,7.92,9.63
8/6/2025 15:00,21.61,8.03,9.67
8/6/2025 16:00,22.65,8.14,9.58
8/6/2025 17:00,22.83,8.12,9.38
8/6/2025 18:00,22.66,8.03,9.24
8/6/2025 19:00,22.23,7.92,9.1
8/6/2025 20:00,21.53,7.77,8.98
8/6/2025 21:00,21.03,7.66,8.91
8/6/2025 22:00,20.71,7.59,8.84
8/6/2025 23:00,20.47,7.55,8.82
8/7/2025 0:00,20.26,7.52,8.83
8/7/2025 1:00,20.01,7.51,8.86
8/7/2025 2:00,19.82,7.5,8.89
8/7/2025 3:00,19.62,7.5,8.92
8/7/2025 4:00,19.4,7.49,8.96
8/7/2025 5:00,19.23,7.48,9
8/7/2025 6:00,19.09,7.48,9.03
8/7/2025 7:00,18.93,7.5,9.12
8/7/2025 8:00,18.88,7.54,9.31
8/7/2025 9:00,19,7.62,9.51
8/7/2025 10:00,19.42,7.68,9.64
8/7/2025 11:00,20,7.77,9.71
8/7/2025 12:00,20.52,7.82,9.7
8/7/2025 13:00,20.61,7.87,9.66
8/7/2025 14:00,20.76,7.88,9.6
8/7/2025 15:00,21.02,7.88,9.56
